id,sku,group_code,product_name,description,weight,sale_price,regular_price,categories,Subcategories,stock_quantity,STATUS,images, Γεύση,ΣΥΣΚΕΥΑΣΙΑ
6120,3371-44905,,"Δίχτυ Ποδοσφαίρου 11v11 Πλεκτό PE 3,5mm",,,217,217,AMILA, Sports; Εξοπλισμός Γηπέδου Ποδοσφαίρου; Ποδόσφαιρο,30,A,https://madfit.gr/wp-content/uploads/2024/02/44905.jpg,,
6122,3503-42079,,Μπαλάκια Badminton με Πολύχρωμα Πλαστικά Φτερά (6 τμχ),,,2.6,2.6,AMILA, Badminton - Squash - Padel; Sports; Μπαλάκια Badminton,164,A,https://madfit.gr/wp-content/uploads/2024/02/42079.jpg,,
6124,3585-48097,,Μπάλα Γυμναστικής AMILA GYMBALL Peanut 50cm Γκρι,"<p><html><head></head><body></p>
<p>Η μπάλα γυμναστικής σε σχήμα φιστικιού έχει μείνει και με το όνομα ""Birth Ball"". Αυτό γιατί είναι ένα πολύ καλό αξεσουάρ γυμναστικής για τις γυναίκες που βρίσκονται κατά την διάρκεια της κύησης. Το σχήμα της, που θυμίζει φιστίκι, τις βοηθάει για να ετοιμαστούν για την ημέρα του τοκετού και να γυμναστούν κατάλληλα.</p>
<p>Ένα δείγμα ασκήσεων&nbsp;με την&nbsp;AMILA Peanut Ball&nbsp;μπορείτε να βρείτε στο κανάλι της&nbsp;AMILA&nbsp;στο Youtube ή πατώντας <a href=""https://www.youtube.com/watch?v=1q7ESSns65I&amp;list=PLPxlUFlD0pDc6wJk9v86CwQyTDGLJITB0"">εδώ</a></p>
<p>Εκτός όμως από την χρήση που προαναφέραμε είναι ιδανική και για αυτούς που θέλουν να γυμνάσουν κοιλιακούς, να καλυτερέψουν την ισορροπία τους, και την στάση του σώματος. Το σχήμα της μπάλας δίνει μια έξτρα βοήθεια στην ισορροπία βοηθώντας έτσι τους πιο αρχάριους. Τέλος το σχήμα φιστικιού, είναι ένας ευχάριστος και διασκεδαστικός τρόπος να ενθαρρύνετε τα παιδιά σε μια υγιεινή στάση ζωής και καλυτέρευσης της ισορροπίας</p>
<p></body></html></p>
",,16.5,16.5,AMILA, Fitness; Gym Ball; Γενική Ενδυνάμωση,248,A,https://madfit.gr/wp-content/uploads/2024/02/48097.jpg,,
6126,3764-46910,,"Φόρμα αδυνατίσματος, L",,,14.5,14.5,AMILA, Fitness; Αποκατάσταση; Ρουχισμός Αδυνατίσματος,107,A,https://madfit.gr/wp-content/uploads/2024/02/46910.jpg,,
6006,27910-99020100,,Σφυρίχτρα FOX40 Classic Safety Κόκκινη,"<p><html><head></head><body></p>
<p>Απαλλαγείτε από τις κλασικές σφυρίχτρες που χρησιμοποιούν το κλασικό στραγάλι και προμηθευτείτε σήμερα μια FOX40.</p>
<p><strong>Τι κάνει τις FOX40 καλύτερες;</strong></p>
<p>
Μια σφυρίχτρα με στραγάλι δημιουργεί τον ήχο από την κίνηση του μικρού φέλλινου στραγαλιού στο εσωτερικό, κλείνοντας και ανοίγοντας εναλλασσόμενα την τρύπα όπου ο αέρας φεύγει. Αυτή η διαδικασία παράγει γρήγορη εναλλαγή ήχου και σιωπής, το χαρακτηριστικό σφύριγμα «βιμπράτο» - μέχρι να κολλήσει το στραγάλι στην τρύπα.</p>
<p>
Η σφυρίχτρα FOX40 χωρίς στραγάλι είναι περισσότερο σαν έναν αρμονικό όργανο, καθώς παράγει 3 ελαφρώς διαφορετικές συχνότητες ταυτόχρονα. Οι διαφορετικές συχνότητες τοποθετούνται η μία πάνω στην άλλο, και έτσι εναλλάσσονται και ακυρώνονται εναλλάξ. Το αποτέλεσμα είναι ένα δυνατό, τρυπητό βιμπράτο σφύριγμα που δεν έχει κινούμενα μέρη μέσα για να κολλήσουν. Η σφυρίχτρα είναι πλαστική από καλούπι και παράγεται με μέθοδο injection.</p>
<p><strong>FOX40 CLASSIC</strong></p>
<ul>
<li>
<div align=""justify"">Η Fox 40® Classic® είναι μια σταθερή επιλογή όχι μόνο των διαιτητών και προπονητών όλων των επιπέδων αλλά και των διασωστών και σωμάτων ασφαλείας παγκοσμίως.</div>
</li>
<li>
<div align=""justify"">Άψογη, σταθερό και έμπιστη σφύριγμα</div>
</li>
<li>
<div align=""justify"">Εύκολη στο σφύριγμα χωρίς τον κίνδυνο υπερβολικού σφυρίγματος</div>
</li>
<li>
<div align=""justify"">Δυνατή, στα 115dB, θα ακουστείτε πάνω από τους θορύβους του περιβάλλοντος, όπως θορυβώδη κοινό, θόρυβο από μηχανές, ενώ δεν θα επηρεαστεί από τους δυνατούς ανέμους</div>
</li>
<li>
<div align=""justify"">Ο ήχος θα ακουστεί 100άδες μέτρα μακριά </div>
</li>
</ul>
<p></body></html></p>
",,8.2,8.2,AMILA, Sports; Είδη Διαιτησίας Ποδοσφαίρου; Ποδόσφαιρο,147,A,"https://madfit.gr/wp-content/uploads/2024/02/99020100.jpg,https://madfit.gr/wp-content/uploads/2024/02/99020100_1-scaled.jpg",,
6009,1819-49002,,Τροχοσανίδα Skateboard AMILA Skatebird Dark Angel,,,21.9,21.9,AMILA, Skate - Roller; Skateboard; Sports,159,A,"https://madfit.gr/wp-content/uploads/2024/02/49002.jpg,https://madfit.gr/wp-content/uploads/2024/02/49002_1-scaled.jpg",,
6012,23862-47849,,Σκάλα Επιτάχυνσης Σετ 3 τεμαχίων HQ Bag,"<p><html><head></head><body></p>
<p>Βελτιώστε την ταχύτητα σας και την εκρηκτικότητα με την προπόνηση ευελιξίας. Ένα από τα εργαλεία αυτής της προπόνησης είναι οι σκάλες επιτάχυνσης όπου θα μπορείτε να θέσετε έναν ρυθμό βήματος που θα πρέπει να ακολουθεί ο αθλητής.</p>
<p>Η ανάπτυξη της ταχύτητας και της ευελιξίας είναι κρίσιμης σημασίας για όλους τους αθλητές, τόσο των κλασικών ατομικών/ομαδικών αθλημάτων, όσο και για τους αθλητές Crossfit. Εάν θέλετε την βελτίωση σας, ή των αθλητών σας η χρήση τέτοιων αξεσουάρ είναι απαραίτητη. Κάντε αποτελεσματική προπόνηση και δείτε διαφορά στις επιδόσεις.</p>
<p>
Το σετ περιλαμβάνει 3 σκάλες επιτάχυνσης έτσι ώστε να μπορείτε να χτίσετε ένα πλέγμα, που θα μπορείτε να εκτελείτε και διαγώνιες κινήσεις ή ακόμα και συνδυασμό κινήσεων. Μπορείτε φυσικά να ενώσετε απλά τις σκάλες για επιμήκυνση. Οι αποστάσεις είναι σταθερές στα 45 εκατοστά ενώ το πλάτος της σκάλας ειναι 42 εκατοστά. Τέλος περιλαμβάνει και τσάντα υψηλής ποιότητας&nbsp;και αντοχής&nbsp;για την εύκολη μεταφορά και&nbsp;αποθήκευση</p>
<p>Συνδυάστε τις σκάλες επιτάχυνσης με χωροδείκτες (πχ 48585) , με εμπόδια ταχύτητας (πχ 48573) ή με τα κοντάρια σλάλομ (πχ 41902) για μια ολοκληρωμένη προπόνηση ευελιξίας και ταχύτητας.</p>
<p></body></html></p>
",,54.9,54.9,AMILA, Sports; Εξοπλισμός - Αξεσουάρ Προπόνησης Ποδοσφαίρου; Ποδόσφαιρο,5,A,"https://madfit.gr/wp-content/uploads/2024/02/47849-scaled.jpg,https://madfit.gr/wp-content/uploads/2024/02/47849_1-scaled.jpg,https://madfit.gr/wp-content/uploads/2024/02/47849_2.jpg",,
6016,24113-97195,,Ρακέτα Ping Pong Εξωτερικού Χώρου Sunflex Zircon,"<p>Η ρακέτα Zircon είναι κατασκευασμένη για μεγάλη αντοχή κάτω από δύσκολες συνθήκες. Ο πολύ μοντέρνος και υψηλής αισθητικής σχεδιασμός έγινε στην Γερμανία, από την ίδια την Sunflex. Διαθέτει υλικά κατάλληλα για όλες τις καιρικές συνθήκες, ενώ μπορεί να αποθηκευτεί σε εξωτερικό χώρο χωρίς κανένα πρόβλημα. Η μοναδική της κατασκευή επιτρέπει στην ZIRCON να παραμένει ελαφριά ενώ παράλληλα να διατηρεί την απόλυτα σκληρή και ανθεκτική της κατασκευή. Η επιφάνεια της ρακέτας είναι εξοπλισμένη με Xtra Power Grip για τέλειο έλεγχο. Απολαύστε ατελείωτο παιχνίδι με την ρακέτα ZIRCON της Sunflex.</p>
",,18.5,18.5,AMILA, Ping-Pong; Sports; Ρακέτες Ping-Pong,114,A,"https://madfit.gr/wp-content/uploads/2024/02/97195-scaled.jpg,https://madfit.gr/wp-content/uploads/2024/02/97195_1-scaled.jpg,https://madfit.gr/wp-content/uploads/2024/02/97195_2-scaled.jpg,https://madfit.gr/wp-content/uploads/2024/02/97195_3.jpg",,
6021,23343-43334,,Ελλειπτικό Spirit CE850,"<p><html><head></head><body></p>
<h3>Δυνατότητα ρύθμισης του μήκους του βήματος από 46 εκ. μέχρι 61 εκ., ρυθμιζόμενο ηλεκτρονικά με κουμπί στη δεξιά χειρολαβή.</h3>
<p></body></html></p>
",,2390,2390,AMILA, Ελλειπτικά Επαγγελματικά; Μηχανήματα Cardio Επαγγελματικά; Όργανα Γυμναστικής Επαγγελματικά,2,A,"https://madfit.gr/wp-content/uploads/2024/02/43334.jpg,https://madfit.gr/wp-content/uploads/2024/02/43334_1.jpg",,
6024,23357-49036,,Σετ Προστατευτικά Μαύρα Small,,,18.9,18.9,AMILA, Skate - Roller; Sports; Προστατευτικά Skate - Roller,193,A,"https://madfit.gr/wp-content/uploads/2024/02/49036.jpg,https://madfit.gr/wp-content/uploads/2024/02/49036_1.jpg",,
